path	bytes	sha256	descriptor	provenance
assets/audio/ambience_desert.wav	352878	c13f3408834d7ed82bfdeb7f8098ebbf52e4d772177b71231d4f2d4f4cdb1063	-	assets/audio/SOURCES.md
assets/audio/ambience_frozen.wav	352878	b19a6714714d2db8548213ff3519097de2215dcb31913c45b1da3d2128c14702	-	assets/audio/SOURCES.md
assets/audio/ambience_volcanic.wav	352878	680533f61f7429a5e86d5ab6fb72cc688a4592fcb5d03105b5d49c69f2181c98	-	assets/audio/SOURCES.md
assets/audio/ambience_wetland.wav	352878	97247a955a27f16bf40c0d87a3e18084d917d371b4746f3e3550dd2026f079d3	-	assets/audio/SOURCES.md
assets/audio/bgm_desert.ogg	1518895	4094b030f406ce2a09ab91ec077d61e85f56e1df1e89d817ebae6e3352b17e5a	-	assets/audio/SOURCES.md
assets/audio/bgm_desert_alt.ogg	1423640	45021b3c47f7b092df4eed619437ab928ae31f52c8894a0a07093df5e6aa34f6	-	assets/audio/SOURCES.md
assets/audio/bgm_frozen.ogg	1598177	1e298614e788c64095ca8b5b76f05da4ee45d9dd29f3ac441f7dc6bbd719c48e	-	assets/audio/SOURCES.md
assets/audio/bgm_frozen_alt.ogg	1490878	80b833d281c536ead5909b31a59d24be64755b988de068d61b408b9288b5fb82	-	assets/audio/SOURCES.md
assets/audio/bgm_title.ogg	1650928	1821b40e5350d8af2d203d3e56d548ced0a5ed74e58ff117c4bc82ef03cff621	-	assets/audio/SOURCES.md
assets/audio/bgm_volcanic.ogg	1578481	0acff6c36fd4c9ed538dfcb2e1fe843f4eb9de5375bc5ab3fab0da369d18541a	-	assets/audio/SOURCES.md
assets/audio/bgm_volcanic_alt.ogg	1479960	b4f2091af31a52a2183cc1813bf65d2242f117af9267a129eee3174b21601112	-	assets/audio/SOURCES.md
assets/audio/bgm_wetland.ogg	1630507	d3551e520f860aaca28f3fa93844b5d18b005264dec58b22bfe2de07fa549afe	-	assets/audio/SOURCES.md
assets/audio/bgm_wetland_alt.ogg	1534645	af3a4d17445bca66abde8eadde55f0ef4d2945da01d62cd108506e6ae8cd2c8c	-	assets/audio/SOURCES.md
assets/audio/blocked_clank.wav	42414	e71bc9dbafc90c52cd02a4da911e467ac5dd86ecde6580af7e46d3fb3b80861d	-	assets/audio/SOURCES.md
assets/audio/charge_detent.wav	23694	7d207c19d67b42963546cb2a185aba36b611b9a6d78be601bd634826226637e2	-	assets/audio/SOURCES.md
assets/audio/charge_ready.wav	81678	1d1de93ef34d4d871defd171c04b854ea1d3bde40dff1b2e5be0f167c7c03a16	-	assets/audio/SOURCES.md
assets/audio/chassis_damage.wav	393678	ce83a6cc0c0bf4855d4479dd31e9c2366872c231f278d9c575eaf03c0861fe34	-	assets/audio/SOURCES.md
assets/audio/enemies/boss_kilnheart_caldera_barrage.wav	144078	50ff7d45d28126f243995cd777221607f5fdfc4924ad9e0996367af4237987a1	-	assets/audio/SOURCES.md
assets/audio/enemies/boss_kilnheart_forge_sweep.wav	124878	e7ae94dcb407c338e2aba9768a68a0b8cdba850c7d27933bd81b9a05fa6e6ca7	-	assets/audio/SOURCES.md
assets/audio/enemies/boss_kilnheart_magma_ram.wav	129678	a4a2ecb9a27d6ce74d425c74f54fad40397e89f87bf6ad545c85cd0aa1903697	-	assets/audio/SOURCES.md
assets/audio/enemies/boss_kilnheart_move.wav	120078	1390c71531e98a369e088674ff3bad2ef6bcdad478bde0bc44eba857bffad626	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_ember_skitter_attack.wav	67278	767b859f7fe0c0ebf9ce9853a1c33005902443ccb476e6d011e6bf9643ade315	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_ember_skitter_move.wav	76878	f8689cf8b0bea58eb674949a411fcba7fbf16fd57a610291654ab9125d12aa4a	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_glassback_attack.wav	57678	f2fc29267e05b1a63c13d39d0c905d992ca7d333d9efbcbdea83e3d155dae776	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_glassback_move.wav	72078	f9ceebfa0f560bb6728ac1eb6af794052168d60b845cdeb26f551a587441e6d1	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_mire_tick_attack.wav	62478	4fccf6b26ba14da657bf76f7f262b096429dca9e219dcb1b59d7825c19fd4716	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_mire_tick_move.wav	76878	89b190a74be8369ac38ab6a81cb4097935fb7a01bd42a5a58af46f149646f28b	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_rime_shardling_attack.wav	67278	68e198eaf6d476b1cbcc01592c52d88475fade2ffa5c73418846846063457e9b	-	assets/audio/SOURCES.md
assets/audio/enemies/mob_rime_shardling_move.wav	76878	7d8208d25295c42a47a4b75841cfd523829aa1581b286be6812c01e50b1d82b2	-	assets/audio/SOURCES.md
assets/audio/fauna_contact.wav	48588	7058754203b67f555d6355c9d19f4cc49dfa6bf0dfd3f5e3543494c04bea29e1	-	assets/audio/SOURCES.md
assets/audio/fauna_defeat.wav	81222	3a1c452a24b206013b39e76a9afc2191069db59a6e1acddc66f34ec0a05609b4	-	assets/audio/SOURCES.md
assets/audio/fauna_telegraph_cinder.wav	100878	a9cd2962676cc503e2f94d43c30482a5dac99a4179de9565fb5677244ce86e48	-	assets/audio/SOURCES.md
assets/audio/fauna_telegraph_mud.wav	57678	3b4c1160e9a373e0af68980f3c54c784611e00a4bbd0b9e680b701c993b7ae1a	-	assets/audio/SOURCES.md
assets/audio/fauna_telegraph_rime.wav	82638	8d6bf7364911bc5a251b15be45129ab6dfcc9f84236a96e6c746080e5a99a8be	-	assets/audio/SOURCES.md
assets/audio/fauna_telegraph_sandworm.wav	59598	96e8e4693cd2ce351755965256056daa21d2694d8eb1e080ee09e310139aec09	-	assets/audio/SOURCES.md
assets/audio/harvest/harvest_pluck.wav	105644	856d93db0e4c38d2d26e0ccacdcefa39dc71763fcee9fa276189fe67917d0547	-	assets/audio/harvest/SOURCES.md
assets/audio/harvest/hoe_soil.wav	56354	b5434063060f58a32e52d6f817fe5cfeac0024a085263869aee0ec42571525f5	-	assets/audio/harvest/SOURCES.md
